prefix_id,core,source_core_id,op_id,op,pipe,start,end,duration,cache_hit
prefix1,2,1,1000001518,COPY_IN,PIPE_MTE2,0,195,195,False
prefix1,2,1,1000001520,COPY_IN,PIPE_MTE2,195,580,385,False
prefix1,2,1,1000001522,COPY_IN,PIPE_MTE2,580,895,315,False
prefix1,2,1,1000001524,COPY_IN,PIPE_MTE2,895,1228,333,False
prefix1,2,1,1000001526,COPY_IN,PIPE_MTE2,1228,1546,318,False
prefix1,2,1,1000001528,COPY_IN,PIPE_MTE2,1546,2198,652,False
prefix1,2,1,1000001530,COPY_IN,PIPE_MTE2,2198,3157,959,False
prefix1,2,1,1000001532,COPY_IN,PIPE_MTE2,3157,4117,960,False
prefix1,2,1,1000001534,COPY_IN,PIPE_MTE2,4117,5076,959,False
prefix1,2,1,1000001536,COPY_IN,PIPE_MTE2,5076,6036,960,False
prefix1,2,1,1000001538,COPY_IN,PIPE_MTE2,6036,7987,1951,False
prefix1,2,1,1000001540,COPY_IN,PIPE_MTE2,7987,11351,3364,False
prefix2,3,2,1000001542,COPY_IN,PIPE_MTE2,0,4466,4466,False
prefix2,3,2,1000001544,COPY_IN,PIPE_MTE2,4466,8316,3850,False
prefix2,3,2,1000001546,COPY_IN,PIPE_MTE2,8316,11568,3252,False
prefix2,3,2,1000001548,COPY_IN,PIPE_MTE2,11568,12886,1318,False
prefix2,3,2,1000001550,COPY_IN,PIPE_MTE2,12886,14198,1312,False
prefix2,3,2,1000001552,COPY_IN,PIPE_MTE2,14198,15509,1311,False
prefix2,3,2,1000001554,COPY_IN,PIPE_MTE2,15509,16847,1338,False
prefix3,4,3,1000001556,COPY_IN,PIPE_MTE2,0,4466,4466,False
prefix3,4,3,1000001558,COPY_IN,PIPE_MTE2,4466,5345,879,False
prefix3,4,3,1000001560,COPY_IN,PIPE_MTE2,5345,6304,959,False
prefix3,4,3,1000001562,COPY_IN,PIPE_MTE2,6304,7264,960,False
prefix3,4,3,1000001564,COPY_IN,PIPE_MTE2,7264,8223,959,False
prefix3,4,3,1000001566,COPY_IN,PIPE_MTE2,8223,9183,960,False
prefix3,4,3,1000001568,COPY_IN,PIPE_MTE2,9183,9399,216,False
prefix3,4,3,1000001570,COPY_IN,PIPE_MTE2,9399,9657,258,False
prefix3,4,3,1000001572,COPY_IN,PIPE_MTE2,9657,9888,231,False
prefix3,4,3,1000001574,COPY_IN,PIPE_MTE2,9888,10119,231,False
prefix3,4,3,1000001576,COPY_IN,PIPE_MTE2,10119,10386,267,False
prefix4,5,4,1000001578,COPY_IN,PIPE_MTE2,0,90,90,False
prefix4,5,4,1000001580,COPY_IN,PIPE_MTE2,90,190,100,False
prefix4,5,4,1000001582,COPY_IN,PIPE_MTE2,190,290,100,False
prefix4,5,4,1000001584,COPY_IN,PIPE_MTE2,290,390,100,False
prefix4,5,4,1000001586,COPY_IN,PIPE_MTE2,390,490,100,False
prefix4,5,4,1000001588,COPY_IN,PIPE_MTE2,490,515,25,False
prefix4,5,4,1000001590,COPY_IN,PIPE_MTE2,515,540,25,False
prefix4,5,4,1000001592,COPY_IN,PIPE_MTE2,540,565,25,False
prefix4,5,4,1000001594,COPY_IN,PIPE_MTE2,565,590,25,False
prefix4,5,4,1000001596,COPY_IN,PIPE_MTE2,590,615,25,False
