id,stage,module,note
in,input,"算法 5-1 输入（P2 初稿 5.4）","原始图 G、核数 k、冻结配置 θ"
route,structure,"adaptive_budget.build → adaptive_semantic.build（c66559a6 :43–84）：①resource_word ②tree_paired_leaves ③component_route/DAG+共享输入波次（active_core_wave 式 5-7）④条件 vector_arrival 通路修复","①②成功立即返回；③分量数≥k 走 component_route（adaptive_frontier，allow_component_split=False），<k 走 DAG 最早完成"
p0,initial_plan,"adaptive_semantic.build 返回的初始完整方案（入口 baseline）","各路由按序汇合"
guard,branch,"gap_candidate 分叉汇合与物理依赖守卫（5.4.2）","决定是否构造 Πgap"
gap,gap,"gap_candidate / gap_calendar（式 5-8）","链收缩+间隙日历排程；汇合 ≤k² 核心对"
hyper,hypergap,"gap_hyperrefine.refine（调用 hypergraph_cost / binary_hypercut；式 5-9）","一遍两核区域改进；区域 ≤16 链；Dinic+逐次锚定；负载上限锚回"
dec,branch,"adaptive_hypergap_guarded.py 字节下降判定（gap_hyperrefine 证据）","基础 COPY 字节严格下降？"
retime,fixed_assignment_reorder,"gap_retime","固定分核重排 Πhypergap；只改核内优先级"
dedup,deduplicate,"adaptive_hypergap_guarded.py 计划去重（式 5-10）","C={Π₀,Πgap,Πhypergap}distinct，|C|≤3"
dec2,branch,"adaptive_hypergap_guarded.py len(plans)==1 分支","唯一计划直接保留"
score,full_score,"guarded_component._score（oracle 由 adaptive_guarded.score_adapter/native_e2 提供）","每方案 ≤1 次、总计 ≤3 次；在线费用计入墙钟"
select,select,"adaptive_hypergap_guarded.py 元组择优（:98–104）","(Makespan, 额外 DDR B)；平局保留先前"
plan,final_plan,"adaptive_hypergap_guarded 输出、adaptive_guarded.main 写 plan（算法 5-1 步骤 7）","仅 node_to_subgraph、core_schedules"
e0,final_e0,"官方评估器独立复评（5.4.4，实验阶段）","未修改官方评估器；与在线 E2 分开"
cap,sidebar,"5.5 节 + S2（OPTIMALITY_BOUNDS / FIFO_BOUND）","容量闭区间条件与必要下界；仅诊断"
stat,sidebar,"5.4.1/5.4.2 静态估计声明 + S3","式(5-7)/(5-9)与日历时钟非正式成绩、非下界"
res,sidebar,"派发单 F51-R03 概括口径","未接入本入口的容量保护/就绪匹配等研究"
