Thu Sep 24 23:20:40 2026    ${REPO_ROOT}/results/a/q2-nikolastarx/constructor-profile-20260924/025-k4/profile.pstats

         5991671 function calls (5898037 primitive calls) in 1.287 seconds

   Ordered by: internal time
   List reduced from 383 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    74648    0.159    0.000    0.387    0.000 dag_direct.py:88(propose)
        2    0.150    0.075    0.309    0.155 evaluation_validation.py:171(validate_graph)
        1    0.075    0.075    0.876    0.876 dag_direct.py:53(build)
        2    0.074    0.037    0.089    0.044 stub_multicore_cut_and_schedule.py:20(_build_op_adjacency)
    31992    0.066    0.000    0.066    0.000 {method 'sort' of 'list' objects}
682584/682580    0.065    0.000    0.086    0.000 {built-in method builtins.max}
        2    0.058    0.029    0.069    0.034 stub_multicore_cut_and_schedule.py:70(_contract_excluded_copy_nodes)
        2    0.058    0.029    0.069    0.034 evaluation_validation.py:113(check_acyclic)
   895980    0.051    0.000    0.051    0.000 {method 'get' of 'dict' objects}
        1    0.050    0.050    0.335    0.335 dag_direct.py:22(__init__)
   119970    0.050    0.000    0.106    0.000 dag_direct.py:98(transfer)
   781198    0.039    0.000    0.039    0.000 {method 'add' of 'set' objects}
        1    0.034    0.034    0.366    0.366 stub_multicore_cut_and_schedule.py:114(derive_multicore_plan)
   239949    0.030    0.000    0.030    0.000 {built-in method builtins.sorted}
   458616    0.026    0.000    0.026    0.000 evaluation_validation.py:11(require_integer)
   223976    0.026    0.000    0.039    0.000 dag_direct.py:95(clock)
    37324    0.022    0.000    0.022    0.000 {built-in method _heapq.heappop}
        1    0.022    0.022    0.022    0.022 decoder.py:344(raw_decode)
   149296    0.019    0.000    0.019    0.000 dag_direct.py:122(<genexpr>)
        1    0.016    0.016    0.267    0.267 direct.py:53(__init__)
    93342    0.015    0.000    0.026    0.000 dag_direct.py:85(duration)
   272224    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
   416477    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
168365/93497    0.014    0.000    0.023    0.000 encoder.py:334(_iterencode_dict)
   111972    0.011    0.000    0.019    0.000 direct.py:83(duration)
    74652    0.009    0.000    0.009    0.000 {built-in method fromkeys}
    18710    0.008    0.000    0.012    0.000 {built-in method builtins.min}
    79989    0.008    0.000    0.008    0.000 {method 'pop' of 'list' objects}
        1    0.008    0.008    0.015    0.015 direct.py:29(topo)
        4    0.007    0.002    0.008    0.002 {method 'read' of '_io.TextIOWrapper' objects}
   104001    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
    74648    0.007    0.000    0.007    0.000 {built-in method builtins.sum}
    93497    0.006    0.000    0.029    0.000 encoder.py:414(_iterencode)
37468/18781    0.006    0.000    0.007    0.000 encoder.py:278(_iterencode_list)
    74656    0.005    0.000    0.005    0.000 {method 'values' of 'dict' objects}
   101326    0.004    0.000    0.004    0.000 {method 'popleft' of 'collections.deque' objects}
    93342    0.004    0.000    0.004    0.000 {built-in method math.ceil}
    95988    0.004    0.000    0.004    0.000 {method 'append' of 'collections.deque' objects}
