attempt_id,artifact,path,sha256
farmeruncle123-farmer-q1-v3-20260924-P1-001-k2-seed0-repeat0-v2arch,plan,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k2-seed0-repeat0-v2arch/plan.json,6eb0676aa72c4001053e500cc4047c06aff1bff92c40ee10d951717e34481135
farmeruncle123-farmer-q1-v3-20260924-P1-001-k2-seed0-repeat0-v2arch,result,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k2-seed0-repeat0-v2arch/result.json.gz,e9629980bf068a0d233eefcee320e71618effb0307bca9891b0ead6aec07ff2f
farmeruncle123-farmer-q1-v3-20260924-P1-001-k2-seed0-repeat0-v2arch,run,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k2-seed0-repeat0-v2arch/run.json,b7f331783565bd1150ba5c40e2c8e4f3f640cf862a00ea980cc868e0a50778a9
farmeruncle123-farmer-q1-v3-20260924-P1-001-k3-seed0-repeat0-v2arch,plan,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k3-seed0-repeat0-v2arch/plan.json,bc13daaa1ea56c48563a3b3f27fe1dd277d2fb7eacbc4bb52423d81df7abaccc
farmeruncle123-farmer-q1-v3-20260924-P1-001-k3-seed0-repeat0-v2arch,result,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k3-seed0-repeat0-v2arch/result.json.gz,f5f6cfa259fccb1f64bb2650222f8d9b83ec1c4ad78a833db3aba422ef760687
farmeruncle123-farmer-q1-v3-20260924-P1-001-k3-seed0-repeat0-v2arch,run,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k3-seed0-repeat0-v2arch/run.json,be926410d220791022f888389b554508b594a369fca76e2c74f15fc54962bc4e
farmeruncle123-farmer-q1-v3-20260924-P1-001-k4-seed0-repeat0-v2arch,plan,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k4-seed0-repeat0-v2arch/plan.json,55be5d1b4034b21398feaeefbb07eaee7a500220ecd2659e658e3090935d9de2
farmeruncle123-farmer-q1-v3-20260924-P1-001-k4-seed0-repeat0-v2arch,result,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k4-seed0-repeat0-v2arch/result.json.gz,9da9e72dc87277f6e1e0d69128056832d82fd28b2f1ac3de27ec1ac0c2fb1acd
farmeruncle123-farmer-q1-v3-20260924-P1-001-k4-seed0-repeat0-v2arch,run,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k4-seed0-repeat0-v2arch/run.json,8d4c64705580a7890d2b169d05ed5d84593c40ea8415f194ae4ca32ee2af376f
farmeruncle123-farmer-q1-v3-20260924-P1-001-k5-seed0-repeat0-v2arch,plan,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k5-seed0-repeat0-v2arch/plan.json,78c6c191ecb00c641a60d177fef9d72fc98dea01aacea382bb5dcc7e10effa08
farmeruncle123-farmer-q1-v3-20260924-P1-001-k5-seed0-repeat0-v2arch,result,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k5-seed0-repeat0-v2arch/result.json.gz,f8fcf8baa149363172057cff8c9554ca7061ccff05aa50cc8d375c85351f19b6
farmeruncle123-farmer-q1-v3-20260924-P1-001-k5-seed0-repeat0-v2arch,run,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k5-seed0-repeat0-v2arch/run.json,205392bc26da23193a6daf6e8b4077214765a620778e9f0ac333dd23b7f236d9
farmeruncle123-farmer-q1-v3-20260924-P1-001-k1-official-singlecore,plan,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k1-official-singlecore/plan.json,8fc81ea51de98295926e9875caf5b955bb0bd8d556f7fe6482020b62dfa01b6c
farmeruncle123-farmer-q1-v3-20260924-P1-001-k1-official-singlecore,result,results/a/p123-report-farmer/board-push/farmeruncle123-farmer-q1-v3-20260924-P1-001-k1-official-singlecore/result.json.gz,9ef5c0447b7831b1481b15fa6516f8a09817803418afcee1efec0019d62cad57
