batch,case_id,cores,variant,route,new_makespan_cycles,old_tensor_makespan_cycles,makespan_change_cycles,makespan_comparison,new_B_over_M,old_tensor_B_over_M,new_extra_ddr_bytes,old_tensor_extra_ddr_bytes,extra_ddr_change_bytes,new_spill_bytes,old_tensor_spill_bytes,spill_change_bytes,new_solver_wall_seconds,old_tensor_solver_wall_seconds,new_external_E0_wall_seconds,old_tensor_external_E0_wall_seconds,new_run_path,old_run_path
round10a,001,1,capacity_window,capacity_window,233110,308637,-75527,better,1.0,0.755288575251833,0,2805760,-2805760,0,2805760,-2805760,0.7193122999997286,1.6777062000001024,1.1063100999999733,1.3523664999993343,results/a/q2-yuanzhifang/feedback-20260924/round10a/001-capacity_window/run.json,results/a/q2-yuanzhifang/feedback-20260924/round6a/001-tensor_packet/run.json
round11b,005,1,gap_packet,join_gap_packet,71523,90450,-18927,better,1.3368846385078925,1.0571365395245993,0,0,0,0,0,0,1.1217015000001993,0.7962212999991607,2.2792230999984895,3.277206300001126,results/a/q2-yuanzhifang/feedback-20260924/round11b/005-gap_packet/run.json,results/a/q2-yuanzhifang/feedback-20260924/round6a/005-tensor_packet/run.json
round10a,007,1,capacity_window,capacity_window,979322,1416254,-436932,better,1.0339418495653114,0.7149579100923987,0,19345920,-19345920,0,19345920,-19345920,1.4261329000000842,0.7817178000004787,3.4061110000002373,4.078025200000411,results/a/q2-yuanzhifang/feedback-20260924/round10a/007-capacity_window/run.json,results/a/q2-yuanzhifang/feedback-20260924/round6a/007-tensor_packet/run.json
round10a,013,1,capacity_window,capacity_window,263949,370525,-106576,better,1.0,0.7123648876594022,0,3964928,-3964928,0,3964928,-3964928,0.8064634000002115,0.7427734999982931,1.8297738000001118,2.451840699999593,results/a/q2-yuanzhifang/feedback-20260924/round10a/013-capacity_window/run.json,results/a/q2-yuanzhifang/feedback-20260924/round6a/013-tensor_packet/run.json
round11b,016,1,gap_packet,join_gap_packet,7715523,7715523,0,equal,1.0,1.0,0,0,0,0,0,0,2.9142214999992575,1.966830099998333,18.58188599999994,21.52857149999909,results/a/q2-yuanzhifang/feedback-20260924/round11b/016-gap_packet/run.json,results/a/q2-yuanzhifang/feedback-20260924/round6a/016-tensor_packet/run.json
round10a,025,1,capacity_window,capacity_window,4703126,7124388,-2421262,better,1.0339986638673937,0.682588595680078,0,103650816,-103650816,0,103650816,-103650816,3.134400300001289,2.6408257000002777,24.138736799999606,30.820466700002726,results/a/q2-yuanzhifang/feedback-20260924/round10a/025-capacity_window/run.json,results/a/q2-yuanzhifang/feedback-20260924/round6a/025-tensor_packet/run.json
round10a,036,1,capacity_window,capacity_window,931510,1342437,-410927,better,1.0,0.6938947600520546,0,15093760,-15093760,0,15093760,-15093760,1.3318361999990884,0.7837599000013142,2.521328100003302,3.092063500000222,results/a/q2-yuanzhifang/feedback-20260924/round10a/036-capacity_window/run.json,results/a/q2-yuanzhifang/feedback-20260924/round6b/036-tensor_packet/run.json
round10a,037,1,capacity_window,capacity_window_guard_unchanged,210533,210533,0,equal,0.9974730802297027,0.9974730802297027,0,0,0,0,0,0,0.619084699999803,0.7397104000010586,0.7499961000030453,0.8428294000004826,results/a/q2-yuanzhifang/feedback-20260924/round10a/037-capacity_window/run.json,results/a/q2-yuanzhifang/feedback-20260924/round6b/037-tensor_packet/run.json
round10a,050,1,capacity_window,capacity_window,142613,143391,-778,better,1.0496238070863104,1.0439288379326457,0,0,0,0,0,0,1.1806388000004517,1.0917905999995128,2.375724800000171,2.85964629999944,results/a/q2-yuanzhifang/feedback-20260924/round10a/050-capacity_window/run.json,results/a/q2-yuanzhifang/feedback-20260924/round6b/050-tensor_packet/run.json
round10a,061,1,capacity_window,capacity_window,84083,85673,-1590,better,0.9180333717874005,0.9009956462362705,0,0,0,0,0,0,0.7982220999983838,0.6367572999988624,1.2097200999996858,0.9305478000023868,results/a/q2-yuanzhifang/feedback-20260924/round10a/061-capacity_window/run.json,results/a/q2-yuanzhifang/feedback-20260924/round6b/061-tensor_packet/run.json
