case,problem,cores,algorithm,status,makespan_cycles,singlecore_cycles,multicore_speedup,solver_wall_seconds,e0_wall_seconds,data_movement_bytes,cache_hit_rate,no_cache_makespan_cycles,cache_speedup,error,source_commit,result_path
003,P1,1,official_singlecore_baseline,ok,602212,602212,1.0,,,"{""original_graph_copy_bytes"": 1284264, ""scheduled_copy_bytes"": 1284264, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/003/e0/result.json.gz
003,P1,2,q1_search_32_seed0,error,,602212,,44.66242080000029,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
003,P1,3,q1_search_32_seed0,error,,602212,,46.061393699999826,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
003,P1,4,q1_search_32_seed0,error,,602212,,45.277562400000534,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
003,P1,5,q1_search_32_seed0,error,,602212,,45.58111780000036,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
004,P1,1,official_singlecore_baseline,ok,392357,392357,1.0,,,"{""original_graph_copy_bytes"": 792576, ""scheduled_copy_bytes"": 792576, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/004/e0/result.json.gz
004,P1,2,q1_search_32_seed0,ok,201621,392357,1.9460125681352638,28.669704199999615,0.6880000000001019,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":1692672,""added_copy_bytes"":900096,""partition_added_copy_bytes"":900096,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/004/k2/search/e0_best/result.json.gz
004,P1,3,q1_search_32_seed0,ok,139308,392357,2.8164714158555144,28.702832200000557,0.6720000000004802,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":1677312,""added_copy_bytes"":884736,""partition_added_copy_bytes"":884736,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/004/k3/search/e0_best/result.json.gz
004,P1,4,q1_search_32_seed0,ok,105898,392357,3.7050463653704506,30.991490299999896,0.6719999999995707,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":1566720,""added_copy_bytes"":774144,""partition_added_copy_bytes"":774144,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/004/k4/search/e0_best/result.json.gz
004,P1,5,q1_search_32_seed0,ok,89972,392357,4.360878940114702,27.52138869999999,0.7030000000004293,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":2101248,""added_copy_bytes"":1308672,""partition_added_copy_bytes"":1308672,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/004/k5/search/e0_best/result.json.gz
005,P1,1,official_singlecore_baseline,ok,95618,95618,1.0,,,"{""original_graph_copy_bytes"": 333414, ""scheduled_copy_bytes"": 333414, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/005/e0/result.json.gz
005,P1,2,q1_search_32_seed0,ok,95402,95618,1.0022641034779145,55.16599570000017,5.67200000000048,"{""original_graph_copy_bytes"":333414,""scheduled_copy_bytes"":408396,""added_copy_bytes"":74982,""partition_added_copy_bytes"":74982,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/005/k2/search/e0_best/result.json.gz
005,P1,3,q1_search_32_seed0,ok,95402,95618,1.0022641034779145,55.30629829999998,5.780999999999949,"{""original_graph_copy_bytes"":333414,""scheduled_copy_bytes"":408396,""added_copy_bytes"":74982,""partition_added_copy_bytes"":74982,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/005/k3/search/e0_best/result.json.gz
005,P1,4,q1_search_32_seed0,ok,95402,95618,1.0022641034779145,55.807055399999626,5.811999999999898,"{""original_graph_copy_bytes"":333414,""scheduled_copy_bytes"":408396,""added_copy_bytes"":74982,""partition_added_copy_bytes"":74982,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/005/k4/search/e0_best/result.json.gz
005,P1,5,q1_search_32_seed0,ok,95402,95618,1.0022641034779145,57.35440100000051,6.0789999999997235,"{""original_graph_copy_bytes"":333414,""scheduled_copy_bytes"":408396,""added_copy_bytes"":74982,""partition_added_copy_bytes"":74982,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/005/k5/search/e0_best/result.json.gz
006,P1,1,official_singlecore_baseline,ok,82837,82837,1.0,,,"{""original_graph_copy_bytes"": 543348, ""scheduled_copy_bytes"": 559748, ""added_copy_bytes"": 16400, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 16400}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/006/e0/result.json.gz
006,P1,2,q1_search_32_seed0,ok,42429,82837,1.9523674845035235,28.92098850000002,0.6399999999994179,"{""original_graph_copy_bytes"":543348,""scheduled_copy_bytes"":613760,""added_copy_bytes"":70412,""partition_added_copy_bytes"":70412,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/006/k2/search/e0_best/result.json.gz
006,P1,3,q1_search_32_seed0,ok,31151,82837,2.6592083721228854,22.707475899999736,0.625,"{""original_graph_copy_bytes"":543348,""scheduled_copy_bytes"":634612,""added_copy_bytes"":91264,""partition_added_copy_bytes"":91264,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/006/k3/search/e0_best/result.json.gz
006,P1,4,q1_search_32_seed0,ok,31127,82837,2.661258714299483,22.047971699999835,0.6710000000002765,"{""original_graph_copy_bytes"":543348,""scheduled_copy_bytes"":634612,""added_copy_bytes"":91264,""partition_added_copy_bytes"":91264,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/006/k4/search/e0_best/result.json.gz
006,P1,5,q1_search_32_seed0,ok,31589,82837,2.6223368894235337,22.744110900000123,0.6559999999999491,"{""original_graph_copy_bytes"":543348,""scheduled_copy_bytes"":634612,""added_copy_bytes"":91264,""partition_added_copy_bytes"":91264,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/006/k5/search/e0_best/result.json.gz
007,P1,1,official_singlecore_baseline,ok,1012562,1012562,1.0,,,"{""original_graph_copy_bytes"": 1732608, ""scheduled_copy_bytes"": 1732608, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/007/e0/result.json.gz
007,P1,2,q1_search_32_seed0,ok,514066,1012562,1.969712060319103,53.43852599999991,2.125,"{""original_graph_copy_bytes"":1732608,""scheduled_copy_bytes"":2617344,""added_copy_bytes"":884736,""partition_added_copy_bytes"":884736,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/007/k2/search/e0_best/result.json.gz
007,P1,3,q1_search_32_seed0,ok,345428,1012562,2.931325775559596,53.72380789999988,2.0469999999995707,"{""original_graph_copy_bytes"":1732608,""scheduled_copy_bytes"":2617344,""added_copy_bytes"":884736,""partition_added_copy_bytes"":884736,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/007/k3/search/e0_best/result.json.gz
007,P1,4,q1_search_32_seed0,ok,261314,1012562,3.8748861522918787,53.00844870000037,1.9380000000001019,"{""original_graph_copy_bytes"":1732608,""scheduled_copy_bytes"":2589696,""added_copy_bytes"":857088,""partition_added_copy_bytes"":857088,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/007/k4/search/e0_best/result.json.gz
007,P1,5,q1_search_32_seed0,ok,212172,1012562,4.772363931150199,53.57172709999941,2.0150000000003274,"{""original_graph_copy_bytes"":1732608,""scheduled_copy_bytes"":2672640,""added_copy_bytes"":940032,""partition_added_copy_bytes"":940032,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/007/k5/search/e0_best/result.json.gz
