case_id,cores,makespan_cycles,baseline_cycles,speedup,extra_ddr_bytes,spill_bytes,solver_wall_seconds,E0_wall_seconds,run_path,result_sha256,baseline_receipt_sha256
001,4,58984,233110,3.952088702020887,3456,0,0.9179847000013979,0.9702133999999205,results/a/q2-yuanzhifang/feedback-20260924/round15j/001-gap_packet/run.json,30a5929b886b48e41d3a202eccf8cebfd20f37b457c1b57743d0f609f1d83724,543f3aa0bc9c0c9b3bfe43e16bec1c5e055a3a4cb6c14cb827872efef6024202
002,4,67136,261945,3.9017069828408006,583680,0,1.0050508000022091,2.1122436999976344,results/a/q2-yuanzhifang/feedback-20260924/round15j/002-gap_packet/run.json,e47b0c3c8099477ad294b31a41b140f44a83a6a1ba16f181009e5992a6a297ab,2a2ab785561ec2a8b15bda6114526978ac251260d9fd3338ab78464e3d376754
003,4,194517,602212,3.095935059660595,8511810,0,8.600767399999313,13.925843299999542,results/a/q2-yuanzhifang/feedback-20260924/round11a/003-gap_packet/run.json,ff0a147a00284157cd36d3095c9172aa7d9a52f8eb5bf01c9f2d7f10e192d128,ef488a35e99ccd3cd797e8b0dbf2c7d1a9d5bc6feff8206e071747dc01c8b36b
004,4,103563,392357,3.7885827950136632,2884608,417792,0.7321745000008377,0.9961173999981838,results/a/q2-yuanzhifang/feedback-20260924/round15j/004-gap_packet/run.json,c3594e9fef016ee9211c05145723f9cf8e4cd9feda5be3e598e5ee9f40a87a69,a2fb836bdffe6f71dc4464a8670ac68aaa201a6a561b1eebef97dd42ac09148c
005,4,48950,95618,1.9533810010214505,2428690,0,2.733317399997759,4.013599500001874,results/a/q2-yuanzhifang/feedback-20260924/round11a/005-gap_packet/run.json,975c9d6c5febcbdb7219f02136a440213bcaca14d81abe18b659aacabb27f0a2,bda37a23605f3460f42810691f801e1fa334195c1b8f78f72c34200ac5360668
006,4,26888,82837,3.0808167212139246,795300,0,1.4245872999999847,1.1796081000029517,results/a/q2-yuanzhifang/feedback-20260924/round15j/006-gap_packet/run.json,e60778078e11f1abbd9cb720cec03043ccc9780f4013b7ab9c449bcb00f63598,ac73c133b6828c9e4eaa9fb3430b84183eb9907055ee2c3de0df346759affc0c
007,4,263137,1012562,3.8480411344660768,8380416,2967552,2.184317799998098,3.6151672000014514,results/a/q2-yuanzhifang/feedback-20260924/round15j/007-gap_packet/run.json,914a6741669ebe052de3496aceabe0ea9cf98b91773f37e6fa500f5b740d1856,d6f00fedd7ee7f3674672405e51f66af818b8c02c4fd8ee8a95adbf03ff0f699
008,4,194442,487605,2.507714382695097,7372800,7372800,1.2029580000016722,1.0663067999994382,results/a/q2-yuanzhifang/feedback-20260924/round15j/008-gap_packet/run.json,6656cac56ab7eebb8cbb936a5984998e106bbd5bdf98d89a7d850333908dc8c2,bfd778e7401f0f5b8e9a11a3d9fb33fd60194008a53de967b0c10605684c5530
009,4,48334,153261,3.1708735051930317,1501970,0,4.13514419999774,3.9878043999997317,results/a/q2-yuanzhifang/feedback-20260924/round15j/009-gap_packet/run.json,7872e1b8c1afa7b56bbd345a604f20c26bf678de7639903c2592643fc9f37c9d,333ea76e0a9fe56ca10f27ecc42adee48c562b13d918c8e0e335d7ec125428ca
010,4,22765,86969,3.820294311443005,779712,0,0.7460094000016397,1.2705347000010079,results/a/q2-yuanzhifang/feedback-20260924/round15j/010-gap_packet/run.json,90d06253b72be0afd1e702ca43a6e1d9437b152cd65481ffebf1da3ae479e0a0,c94dc29770a18aa943e05f7c083ad2dda65944ad75f533d93f9bcdaadcd35084
